,Unnamed: 0,User_ID,Credit_score,Insurance_risk_score  ,Garden_m2,Living_room_m2,Bedrooms_ m2,Home_age,Home_evaluation,Paid_life_premium ,Offered_dwelling insurance,Floor,Num_residents_floor,Purchase
Unnamed: 0,1.0,-0.0006512187719712277,-0.004063824109053635,-0.0029214713587467018,-0.0025137514415276064,0.00019306728216910983,-0.0012110689876812452,0.004093756537481327,0.005121642206359878,-0.0032095481948336974,-0.002463084321404535,-0.0031333646787890215,0.0030565228085564122,0.0001902294027960177
User_ID,-0.0006512187719712277,1.0,-0.01808557275291054,0.05859898927031744,0.048325021961969014,0.0718410741959886,0.04938992313073781,-0.14078204799875976,-0.10307531453286001,0.10921163324176907,0.08710645767164496,-0.0639347610584438,-0.021837914865161474,0.0008808383192425414
Credit_score,-0.004063824109053635,-0.01808557275291054,1.0,-0.0651310002360418,0.13140250860650304,0.08606020173298061,0.05735983348441336,0.22471337243217018,-0.16866038075731463,0.008899478063611355,-0.08292604083735206,0.19797956078619808,0.1587201201704201,0.219367533466416
Insurance_risk_score  ,-0.0029214713587467018,0.05859898927031744,-0.0651310002360418,1.0,0.20291831218001166,0.1936992803156296,0.13029322977803662,-0.5063991561064802,-0.27023059078282785,0.5471192508829991,0.5759862051013701,-0.18854602501717432,-0.1528684335044714,-0.1116376195439626
Garden_m2,-0.0025137514415276064,0.048325021961969014,0.13140250860650304,0.20291831218001166,1.0,0.603868162459094,0.6864845900018841,-0.2131245753597855,-0.4567199594255307,0.14596858597027124,0.02988998545946592,0.07185360818815488,0.10783874292922287,0.20531267751945867
Living_room_m2,0.00019306728216910983,0.0718410741959886,0.08606020173298061,0.1936992803156296,0.603868162459094,1.0,0.5194799740714071,-0.27002707701594947,-0.2260836941407311,0.1259578545396008,0.002666847103340043,0.024192583995465675,0.06545334531332239,0.07070815992282853
Bedrooms_ m2,-0.0012110689876812452,0.04938992313073781,0.05735983348441336,0.13029322977803662,0.6864845900018841,0.5194799740714071,1.0,-0.14370742827123417,-0.2940210871594267,0.16077503048056785,0.026947914216569314,0.053017985106813104,0.009472414593104949,0.07197875569735161
Home_age,0.004093756537481327,-0.14078204799875976,0.22471337243217018,-0.5063991561064802,-0.2131245753597855,-0.27002707701594947,-0.14370742827123417,1.0,0.13661859156907863,-0.47064702658999263,-0.4984582177086645,0.4539826454665398,0.30368069011483173,0.23247357939046015
Home_evaluation,0.005121642206359878,-0.10307531453286001,-0.16866038075731463,-0.27023059078282785,-0.4567199594255307,-0.2260836941407311,-0.2940210871594267,0.13661859156907863,1.0,-0.42028174023895076,-0.285003676316458,-0.1307532099508813,-0.12212218459212817,-0.227528236983732
Paid_life_premium ,-0.0032095481948336974,0.10921163324176907,0.008899478063611355,0.5471192508829991,0.14596858597027124,0.1259578545396008,0.16077503048056785,-0.47064702658999263,-0.42028174023895076,1.0,0.8606495942230643,-0.13751984739477396,-0.13419639704217923,-0.025904643893841752
Offered_dwelling insurance,-0.002463084321404535,0.08710645767164496,-0.08292604083735206,0.5759862051013701,0.02988998545946592,0.002666847103340043,0.026947914216569314,-0.4984582177086645,-0.285003676316458,0.8606495942230643,1.0,-0.3032919424241743,-0.29980756392834673,-0.17942381487904635
Floor,-0.0031333646787890215,-0.0639347610584438,0.19797956078619808,-0.18854602501717432,0.07185360818815488,0.024192583995465675,0.053017985106813104,0.4539826454665398,-0.1307532099508813,-0.13751984739477396,-0.3032919424241743,1.0,0.547555636784746,0.29139228907060305
Num_residents_floor,0.0030565228085564122,-0.021837914865161474,0.1587201201704201,-0.1528684335044714,0.10783874292922287,0.06545334531332239,0.009472414593104949,0.30368069011483173,-0.12212218459212817,-0.13419639704217923,-0.29980756392834673,0.547555636784746,1.0,0.3384882457914238
Purchase,0.0001902294027960177,0.0008808383192425414,0.219367533466416,-0.1116376195439626,0.20531267751945867,0.07070815992282853,0.07197875569735161,0.23247357939046015,-0.227528236983732,-0.025904643893841752,-0.17942381487904635,0.29139228907060305,0.3384882457914238,1.0
